x			sin^2(x)	sin^2'(x) a.	sin^2'(x) f.d.	sin^2''(x) a.	sin^2''(x) f.d.
1.839999	0.929264	-0.512768	-0.521320	-1.717055	-1.717210
1.849999	0.924050	-0.529835	-0.538278	-1.696202	-1.695752
1.859999	0.918668	-0.546690	-0.555027	-1.674671	-1.674891
1.869999	0.913117	-0.563326	-0.571549	-1.652470	-1.652241
1.879999	0.907402	-0.579737	-0.587851	-1.629608	-1.630187
1.889999	0.901523	-0.595916	-0.603902	-1.606094	-1.605153
1.899999	0.895484	-0.611857	-0.619727	-1.581938	-1.582503
1.909999	0.889287	-0.627552	-0.635296	-1.557148	-1.556873
1.919999	0.882934	-0.642997	-0.650609	-1.531737	-1.531243
1.929999	0.876428	-0.658185	-0.665671	-1.505712	-1.506209
1.939999	0.869771	-0.673110	-0.680459	-1.479085	-1.478791
1.949999	0.862967	-0.687765	-0.694978	-1.451867	-1.451969
1.959999	0.856017	-0.702145	-0.709218	-1.424068	-1.423955
1.969999	0.848925	-0.716244	-0.723171	-1.395699	-1.395345
1.979999	0.841693	-0.730057	-0.736845	-1.366772	-1.367331
1.989999	0.834325	-0.743578	-0.750214	-1.337299	-1.336932
1.999999	0.826823	-0.756801	-0.763285	-1.307290	-1.307130
